Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
244,Finder,Unknown,2024-06-20 21:17:50,2024-06-20 21:18:09,19.16986608505249
13157,Finder,Unknown,2024-06-20 21:18:09,2024-06-20 21:18:10,1.0063180923461914
13158,Finder,Unknown,2024-06-20 21:18:10,2024-06-20 21:18:13,3.0156829357147217
13157,Finder,Unknown,2024-06-20 21:18:13,2024-06-20 21:18:15,2.0158677101135254
13180,TapRecord,Unknown,2024-06-20 21:18:58,2024-06-20 21:19:03,5.034383773803711
13167,QuickTime Player,Unknown,2024-06-20 21:18:42,2024-06-20 21:19:08,26.201730012893677
13159,Preview,Unknown,2024-06-20 21:18:16,2024-06-20 21:19:13,57.42031002044678
Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-20 21:26:47,2024-06-20 21:27:30,43.02308368682861
11150,Safari,Unknown,2024-06-20 21:26:47,2024-06-20 21:27:30,43.023189067840576
244,Finder,Unknown,2024-06-20 21:26:47,2024-06-20 21:27:30,43.02321696281433
3384,CapCut,Unknown,2024-06-20 21:26:47,2024-06-20 21:27:30,43.023231983184814

Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-20 21:29:05,2024-06-20 21:29:23,18.14202094078064
11150,Safari,Unknown,2024-06-20 21:29:05,2024-06-20 21:29:23,18.142102003097534
3384,CapCut,Unknown,2024-06-20 21:29:05,2024-06-20 21:29:23,18.142117738723755
244,Finder,Unknown,2024-06-20 21:29:05,2024-06-20 21:29:23,18.1421320438385

Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-20 21:32:25,2024-06-20 21:32:32,not closed
3384,CapCut,Unknown,2024-06-20 21:32:25,2024-06-20 21:32:32,not closed
244,Finder,Unknown,2024-06-20 21:32:25,2024-06-20 21:32:32,not closed
11150,Safari,Unknown,2024-06-20 21:32:25,2024-06-20 21:32:32,not closed

Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-21 19:24:36,2024-06-21 19:26:51,not closed
15256,Google Earth Pro,Unknown,2024-06-21 19:24:36,2024-06-21 19:26:51,not closed
15239,Finder,Unknown,2024-06-21 19:24:36,2024-06-21 19:26:51,not closed
14993,Safari,Unknown,2024-06-21 19:24:36,2024-06-21 19:26:51,not closed
15279,Google Earth Pro,Unknown,2024-06-21 19:25:01,2024-06-21 19:26:51,not closed

Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-21 19:27:39,2024-06-21 19:28:08,not closed
15279,Google Earth Pro,Unknown,2024-06-21 19:27:39,2024-06-21 19:28:08,not closed
15256,Google Earth Pro,Unknown,2024-06-21 19:27:39,2024-06-21 19:28:08,not closed
15239,Finder,Unknown,2024-06-21 19:27:39,2024-06-21 19:28:08,not closed
14993,Safari,Unknown,2024-06-21 19:27:39,2024-06-21 19:28:08,not closed

Window ID,Application Name,Window Name,Start Time,End Time,Duration (seconds)
12774,Code,Unknown,2024-06-21 19:32:05,2024-06-21 19:32:27,not closed
15279,Google Earth Pro,Unknown,2024-06-21 19:32:05,2024-06-21 19:32:27,not closed
15256,Google Earth Pro,Unknown,2024-06-21 19:32:05,2024-06-21 19:32:27,not closed
15239,Finder,Unknown,2024-06-21 19:32:05,2024-06-21 19:32:27,not closed
14993,Safari,Unknown,2024-06-21 19:32:05,2024-06-21 19:32:27,not closed
